"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US371190001001","Block Group 1, Census Tract 1, Mecklenburg County, North Carolina","1073","215","936","205","800","202","54","46","0","12","82","77","0","12","0","12","0","12","0","12","0","12","137","82","76","50","0","12","0","12","0","12","15","25","0","12","46","46","46","46","0","12",
"1500000US371190001002","Block Group 2, Census Tract 1, Mecklenburg County, North Carolina","1945","290","1739","232","1362","227","236","106","0","12","82","56","0","12","6","13","53","39","6","13","47","41","206","165","145","152","6","13","0","12","0","12","0","12","37","42","18","25","0","12","18","25",
"1500000US371190001003","Block Group 3, Census Tract 1, Mecklenburg County, North Carolina","901","218","888","217","739","160","136","157","0","12","0","12","0","12","0","12","13","18","0","12","13","18","13","21","0","12","0","12","0","12","0","12","0","12","13","21","0","12","0","12","0","12",
"1500000US371190001004","Block Group 4, Census Tract 1, Mecklenburg County, North Carolina","173","110","102","82","64","76","38","31","0","12","0","12","0","12","0","12","0","12","0","12","0","12","71","114","71","114","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US371190001005","Block Group 5, Census Tract 1, Mecklenburg County, North Carolina","569","246","519","244","302","181","81","85","20","33","44","39","0","12","0","12","72","86","0","12","72","86","50","62","15","24","0","12","0","12","0","12","0","12","35","57","0","12","0","12","0","12",
"1500000US371190003001","Block Group 1, Census Tract 3, Mecklenburg County, North Carolina","782","110","780","111","513","101","216","66","21","23","20","19","0","12","5","8","5","8","0","12","5","8","2","5","2","5","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US371190004001","Block Group 1, Census Tract 4, Mecklenburg County, North Carolina","1593","217","1520","210","1197","173","151","85","15","26","104","73","0","12","0","12","53","46","0","12","53","46","73","60","64","54","0","12","0","12","0","12","0","12","9","15","0","12","0","12","0","12",
"1500000US371190004002","Block Group 2, Census Tract 4, Mecklenburg County, North Carolina","1227","197","1200","194","789","162","293","119","0","12","40","40","0","12","0","12","78","63","0","12","78","63","27","25","27","25","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US371190005001","Block Group 1, Census Tract 5, Mecklenburg County, North Carolina","1563","319","1518","325","867","238","586","282","0","12","30","47","0","12","0","12","35","43","0","12","35","43","45","56","45","56","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
