"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US371190001011","Block Group 1; Census Tract 1.01; Mecklenburg County; North Carolina","536","243","474","226","429","217","0","14","0","14","24","34","0","14","0","14","21","37","0","14","21","37","62","71","62","71","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190001012","Block Group 2; Census Tract 1.01; Mecklenburg County; North Carolina","612","236","396","250","261","176","0","14","0","14","135","145","0","14","0","14","0","14","0","14","0","14","216","284","81","130","0","14","0","14","0","14","0","14","0","14","135","163","135","163","0","14",
"1500000US371190001021","Block Group 1; Census Tract 1.02; Mecklenburg County; North Carolina","1418","502","1177","440","901","442","138","134","48","71","90","109","0","14","0","14","0","14","0","14","0","14","241","264","32","39","0","14","0","14","0","14","0","14","52","83","157","245","157","245","0","14",
"1500000US371190001022","Block Group 2; Census Tract 1.02; Mecklenburg County; North Carolina","1323","385","1274","374","895","287","113","126","0","14","174","134","0","14","0","14","92","129","0","14","92","129","49","54","32","47","0","14","0","14","0","14","0","14","0","14","17","27","17","27","0","14",
"1500000US371190001031","Block Group 1; Census Tract 1.03; Mecklenburg County; North Carolina","2042","216","1819","218","1006","207","432","146","0","14","212","140","0","14","51","66","118","66","19","28","99","57","223","125","34","36","9","23","0","14","0","14","0","14","82","73","98","98","98","98","0","14",
"1500000US371190001041","Block Group 1; Census Tract 1.04; Mecklenburg County; North Carolina","1619","237","1551","229","1299","249","137","133","0","14","75","55","0","14","0","14","40","42","0","14","40","42","68","57","31","36","0","14","0","14","0","14","0","14","0","14","37","46","37","46","0","14",
"1500000US371190003011","Block Group 1; Census Tract 3.01; Mecklenburg County; North Carolina","954","151","911","171","620","135","186","167","0","14","72","62","0","14","16","26","17","20","12","19","5","8","43","59","0","14","0","14","0","14","0","14","0","14","0","14","43","59","38","58","5","8",
"1500000US371190003021","Block Group 1; Census Tract 3.02; Mecklenburg County; North Carolina","645","221","632","222","305","110","239","161","5","7","0","14","0","14","0","14","83","87","11","19","72","83","13","21","0","14","0","14","0","14","0","14","0","14","0","14","13","21","13","21","0","14",
"1500000US371190003022","Block Group 2; Census Tract 3.02; Mecklenburg County; North Carolina","493","160","422","134","105","59","227","100","0","14","0","14","0","14","0","14","90","85","56","84","34","12","71","87","0","14","0","14","0","14","0","14","0","14","0","14","71","87","71","87","0","14",
"1500000US371190004011","Block Group 1; Census Tract 4.01; Mecklenburg County; North Carolina","1809","262","1795","261","1534","250","168","78","0","14","83","59","0","14","0","14","10","15","0","14","10","15","14","16","6","10","0","14","0","14","0","14","0","14","0","14","8","13","8","13","0","14",
"1500000US371190004021","Block Group 1; Census Tract 4.02; Mecklenburg County; North Carolina","1001","201","984","208","854","222","39","38","0","14","91","119","0","14","0","14","0","14","0","14","0","14","17","27","0","14","0","14","0","14","0","14","0","14","0","14","17","27","17","27","0","14",
"1500000US371190004022","Block Group 2; Census Tract 4.02; Mecklenburg County; North Carolina","1330","370","1314","369","1223","356","44","56","6","9","18","22","0","14","0","14","23","27","0","14","23","27","16","17","16","17","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1500000US371190005011","Block Group 1; Census Tract 5.01; Mecklenburg County; North Carolina","505","223","442","208","159","112","262","181","0","14","10","15","0","14","11","18","0","14","0","14","0","14","63","82","56","80","0","14","0","14","0","14","0","14","0","14","7","12","7","12","0","14",
