GEO_ID,Total Population,White Population,Black Population,American Indian Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Hispanic or Latino Population,Some other race,Year
371190001011,708,376,132,17,43,0,39,101,2020
371190001012,395,115,0,0,100,0,180,0,2020
371190001021,1009,600,68,75,31,0,235,0,2020
371190001022,1305,1010,46,0,127,0,98,24,2020
371190001031,2137,1098,367,0,362,0,168,142,2020
371190001041,1156,1074,14,0,50,0,18,0,2020
371190003011,613,559,4,0,39,0,11,0,2020
371190003021,237,154,57,0,0,0,12,14,2020
371190003022,412,111,214,0,0,0,71,16,2020
371190004011,1722,1383,212,0,84,0,20,23,2020
371190004021,958,830,51,0,36,0,15,26,2020
371190004022,1215,1025,54,0,10,0,33,93,2020
371190005011,348,260,0,0,0,0,72,16,2020
371190005012,1773,956,725,3,7,0,55,27,2020
371190005021,1291,783,207,0,47,0,240,14,2020
371190005031,1917,1083,567,0,0,0,161,106,2020
371190005032,154,123,31,0,0,0,0,0,2020
371190006001,1629,640,797,0,92,0,44,56,2020
371190006002,510,299,85,0,93,0,10,23,2020
371190006003,820,462,281,0,5,0,42,30,2020
371190007001,622,422,136,0,26,0,38,0,2020
371190007002,437,126,250,13,39,0,9,0,2020
371190008001,2140,509,1357,0,65,135,28,46,2020
371190008002,984,125,811,0,6,0,12,30,2020
371190009001,460,231,207,5,11,0,0,6,2020
371190009002,1331,573,613,0,57,0,81,7,2020
371190010001,1220,1131,13,0,22,0,41,13,2020
371190010002,387,339,30,0,0,0,0,18,2020
371190010003,1323,942,188,0,42,0,100,51,2020
371190011001,1598,1382,8,0,114,0,74,20,2020
371190011002,372,354,0,0,0,0,13,5,2020
371190011003,1427,1128,224,0,0,0,0,75,2020
371190012001,1981,538,632,0,9,0,753,49,2020
371190012002,1101,640,361,0,68,0,32,0,2020
371190012003,1747,1552,63,0,119,0,13,0,2020
371190013001,2568,1054,869,0,53,0,535,57,2020
371190013002,946,414,497,0,17,0,18,0,2020
371190013003,710,503,101,0,53,0,15,38,2020
